Dwelling Type;Climate Zone;Construction Period;Size Factor;Heating System;Initial Age;Headcount
CID;H1;1;M;EHP;0;171
CID;H1;1;M;EHP;1;171
CID;H1;1;M;EHP;2;171
CID;H1;1;M;EHP;3;171
CID;H1;1;M;EHP;4;171
CID;H1;1;M;EHP;5;66
CID;H1;1;M;EHP;6;66
CID;H1;1;M;EHP;7;66
CID;H1;1;M;EHP;8;66
CID;H1;1;M;EHP;9;66
CID;H1;1;M;EHP;10;0
CID;H1;1;M;EHP;11;0
CID;H1;1;M;EHP;12;0
CID;H1;1;M;EHP;13;66
CID;H1;1;M;EHP;14;66
CID;H1;1;M;EHP;15;0
CID;H1;1;M;EHP;16;0
CID;H1;1;M;EHP;17;0
CID;H1;1;M;EHP;18;0
CID;H1;1;M;EHP;19;0
CID;H1;1;S;ER;0;3297
CID;H1;1;S;ER;1;3297
CID;H1;1;S;ER;2;3297
CID;H1;1;S;ER;3;3297
CID;H1;1;S;ER;4;3297
CID;H1;1;S;ER;5;3297
CID;H1;1;S;ER;6;3297
CID;H1;1;S;ER;7;3297
CID;H1;1;S;ER;8;3297
CID;H1;1;S;ER;9;3297
CID;H1;1;S;ER;10;9891
CID;H1;1;S;ER;11;9891
CID;H1;1;S;ER;12;9891
CID;H1;1;S;ER;13;9891
CID;H1;1;S;ER;14;9891
CID;H1;1;S;ER;15;9891
CID;H1;1;S;ER;16;9891
CID;H1;1;S;ER;17;9891
CID;H1;1;S;ER;18;9891
CID;H1;1;S;ER;19;9891
CID;H1;1;S;GB;0;2758
CID;H1;1;S;GB;1;2758
CID;H1;1;S;GB;2;2758
CID;H1;1;S;GB;3;2758
CID;H1;1;S;GB;4;2758
CID;H1;1;S;GB;5;4137
CID;H1;1;S;GB;6;4137
CID;H1;1;S;GB;7;4137
CID;H1;1;S;GB;8;4137
CID;H1;1;S;GB;9;4137
CID;H1;1;S;GB;10;10342
CID;H1;1;S;GB;11;10342
CID;H1;1;S;GB;12;10342
CID;H1;1;S;GB;13;10342
CID;H1;1;S;GB;14;10342
CID;H1;1;S;GB;15;10342
CID;H1;1;S;GB;16;10342
CID;H1;1;S;GB;17;10342
CID;H1;1;S;GB;18;10342
CID;H1;1;S;GB;19;10342
CID;H1;1;S;CGB;0;3447
CID;H1;1;S;CGB;1;3447
CID;H1;1;S;CGB;2;3447
CID;H1;1;S;CGB;3;3447
CID;H1;1;S;CGB;4;3447
CID;H1;1;S;CGB;5;2413
CID;H1;1;S;CGB;6;2413
CID;H1;1;S;CGB;7;2413
CID;H1;1;S;CGB;8;2413
CID;H1;1;S;CGB;9;2413
CID;H1;1;S;CGB;10;1034
CID;H1;1;S;CGB;11;1034
CID;H1;1;S;CGB;12;1034
CID;H1;1;S;CGB;13;1034
CID;H1;1;S;CGB;14;1034
CID;H1;1;S;CGB;15;0
CID;H1;1;S;CGB;16;0
CID;H1;1;S;CGB;17;0
CID;H1;1;S;CGB;18;0
CID;H1;1;S;CGB;19;0
CID;H1;1;S;OB;0;13
CID;H1;1;S;OB;1;13
CID;H1;1;S;OB;2;13
CID;H1;1;S;OB;3;13
CID;H1;1;S;OB;4;13
CID;H1;1;S;OB;5;32
CID;H1;1;S;OB;6;32
CID;H1;1;S;OB;7;32
CID;H1;1;S;OB;8;32
CID;H1;1;S;OB;9;32
CID;H1;1;S;OB;10;83
CID;H1;1;S;OB;11;83
CID;H1;1;S;OB;12;83
CID;H1;1;S;OB;13;83
CID;H1;1;S;OB;14;83
CID;H1;1;S;OB;15;127
CID;H1;1;S;OB;16;127
CID;H1;1;S;OB;17;127
CID;H1;1;S;OB;18;127
CID;H1;1;S;OB;19;127
CID;H1;1;S;COB;0;32
CID;H1;1;S;COB;1;32
CID;H1;1;S;COB;2;32
CID;H1;1;S;COB;3;32
CID;H1;1;S;COB;4;32
CID;H1;1;S;COB;5;22
CID;H1;1;S;COB;6;22
CID;H1;1;S;COB;7;22
CID;H1;1;S;COB;8;22
CID;H1;1;S;COB;9;22
CID;H1;1;S;COB;10;10
CID;H1;1;S;COB;11;10
CID;H1;1;S;COB;12;10
CID;H1;1;S;COB;13;10
CID;H1;1;S;COB;14;10
CID;H1;1;S;COB;15;0
CID;H1;1;S;COB;16;0
CID;H1;1;S;COB;17;0
CID;H1;1;S;COB;18;0
CID;H1;1;S;COB;19;0
CID;H1;1;S;EHP2;0;6
CID;H1;1;S;EHP2;1;6
CID;H1;1;S;EHP2;2;6
CID;H1;1;S;EHP2;3;6
CID;H1;1;S;EHP2;4;6
CID;H1;1;S;EHP2;5;8
CID;H1;1;S;EHP2;6;8
CID;H1;1;S;EHP2;7;8
CID;H1;1;S;EHP2;8;8
CID;H1;1;S;EHP2;9;8
CID;H1;1;S;EHP2;10;7
CID;H1;1;S;EHP2;11;7
CID;H1;1;S;EHP2;12;7
CID;H1;1;S;EHP2;13;7
CID;H1;1;S;EHP2;14;7
CID;H1;1;S;EHP2;15;7
CID;H1;1;S;EHP2;16;7
CID;H1;1;S;EHP2;17;7
CID;H1;1;S;EHP2;18;7
CID;H1;1;S;EHP2;19;7
CID;H1;1;S;WB;0;0
CID;H1;1;S;WB;1;0
CID;H1;1;S;WB;2;0
CID;H1;1;S;WB;3;0
CID;H1;1;S;WB;4;0
CID;H1;1;S;WB;5;0
CID;H1;1;S;WB;6;0
CID;H1;1;S;WB;7;0
CID;H1;1;S;WB;8;0
CID;H1;1;S;WB;9;0
CID;H1;1;S;WB;10;0
CID;H1;1;S;WB;11;0
CID;H1;1;S;WB;12;0
CID;H1;1;S;WB;13;0
CID;H1;1;S;WB;14;0
CID;H1;1;S;WB;15;0
CID;H1;1;S;WB;16;0
CID;H1;1;S;WB;17;0
CID;H1;1;S;WB;18;0
CID;H1;1;S;WB;19;0
CID;H1;1;S;WPB;0;0
CID;H1;1;S;WPB;1;0
CID;H1;1;S;WPB;2;0
CID;H1;1;S;WPB;3;0
CID;H1;1;S;WPB;4;0
CID;H1;1;S;WPB;5;0
CID;H1;1;S;WPB;6;0
CID;H1;1;S;WPB;7;0
CID;H1;1;S;WPB;8;0
CID;H1;1;S;WPB;9;0
CID;H1;1;S;WPB;10;0
CID;H1;1;S;WPB;11;0
CID;H1;1;S;WPB;12;0
CID;H1;1;S;WPB;13;0
CID;H1;1;S;WPB;14;0
CID;H1;1;S;WPB;15;0
CID;H1;1;S;WPB;16;0
CID;H1;1;S;WPB;17;0
CID;H1;1;S;WPB;18;0
CID;H1;1;S;WPB;19;0
CID;H1;1;S;EHP;0;57
CID;H1;1;S;EHP;1;57
CID;H1;1;S;EHP;2;57
CID;H1;1;S;EHP;3;57
CID;H1;1;S;EHP;4;57
CID;H1;1;S;EHP;5;22
CID;H1;1;S;EHP;6;22
CID;H1;1;S;EHP;7;22
CID;H1;1;S;EHP;8;22
CID;H1;1;S;EHP;9;22
CID;H1;1;S;EHP;10;0
CID;H1;1;S;EHP;11;0
CID;H1;1;S;EHP;12;0
CID;H1;1;S;EHP;13;22
CID;H1;1;S;EHP;14;22
CID;H1;1;S;EHP;15;0
CID;H1;1;S;EHP;16;0
CID;H1;1;S;EHP;17;0
CID;H1;1;S;EHP;18;0
CID;H1;1;S;EHP;19;0
CID;H1;1;L;ER;0;3297
CID;H1;1;L;ER;1;3297
CID;H1;1;L;ER;2;3297
CID;H1;1;L;ER;3;3297
CID;H1;1;L;ER;4;3297
CID;H1;1;L;ER;5;3297
CID;H1;1;L;ER;6;3297
CID;H1;1;L;ER;7;3297
CID;H1;1;L;ER;8;3297
CID;H1;1;L;ER;9;3297
CID;H1;1;L;ER;10;9891
CID;H1;1;L;ER;11;9891
CID;H1;1;L;ER;12;9891
CID;H1;1;L;ER;13;9891
CID;H1;1;L;ER;14;9891
CID;H1;1;L;ER;15;9891
CID;H1;1;L;ER;16;9891
CID;H1;1;L;ER;17;9891
CID;H1;1;L;ER;18;9891
CID;H1;1;L;ER;19;9891
CID;H1;1;L;GB;0;2585
CID;H1;1;L;GB;1;2585
CID;H1;1;L;GB;2;2585
CID;H1;1;L;GB;3;2585
CID;H1;1;L;GB;4;2585
CID;H1;1;L;GB;5;3877
CID;H1;1;L;GB;6;3877
CID;H1;1;L;GB;7;3877
CID;H1;1;L;GB;8;3877
CID;H1;1;L;GB;9;3877
CID;H1;1;L;GB;10;9693
CID;H1;1;L;GB;11;9693
CID;H1;1;L;GB;12;9693
CID;H1;1;L;GB;13;9693
CID;H1;1;L;GB;14;9693
CID;H1;1;L;GB;15;9693
CID;H1;1;L;GB;16;9693
CID;H1;1;L;GB;17;9693
CID;H1;1;L;GB;18;9693
CID;H1;1;L;GB;19;9693
CID;H1;1;L;CGB;0;3231
CID;H1;1;L;CGB;1;3231
CID;H1;1;L;CGB;2;3231
CID;H1;1;L;CGB;3;3231
CID;H1;1;L;CGB;4;3231
CID;H1;1;L;CGB;5;2262
CID;H1;1;L;CGB;6;2262
CID;H1;1;L;CGB;7;2262
CID;H1;1;L;CGB;8;2262
CID;H1;1;L;CGB;9;2262
CID;H1;1;L;CGB;10;969
CID;H1;1;L;CGB;11;969
CID;H1;1;L;CGB;12;969
CID;H1;1;L;CGB;13;969
CID;H1;1;L;CGB;14;969
CID;H1;1;L;CGB;15;0
CID;H1;1;L;CGB;16;0
CID;H1;1;L;CGB;17;0
CID;H1;1;L;CGB;18;0
CID;H1;1;L;CGB;19;0
CID;H1;1;L;OB;0;76
CID;H1;1;L;OB;1;76
CID;H1;1;L;OB;2;76
CID;H1;1;L;OB;3;76
CID;H1;1;L;OB;4;76
CID;H1;1;L;OB;5;190
CID;H1;1;L;OB;6;190
CID;H1;1;L;OB;7;190
CID;H1;1;L;OB;8;190
CID;H1;1;L;OB;9;190
CID;H1;1;L;OB;10;495
CID;H1;1;L;OB;11;495
CID;H1;1;L;OB;12;495
CID;H1;1;L;OB;13;495
CID;H1;1;L;OB;14;495
CID;H1;1;L;OB;15;762
CID;H1;1;L;OB;16;762
CID;H1;1;L;OB;17;762
CID;H1;1;L;OB;18;762
CID;H1;1;L;OB;19;762
CID;H1;1;L;COB;0;191
CID;H1;1;L;COB;1;191
CID;H1;1;L;COB;2;191
CID;H1;1;L;COB;3;191
CID;H1;1;L;COB;4;191
CID;H1;1;L;COB;5;133
CID;H1;1;L;COB;6;133
CID;H1;1;L;COB;7;133
CID;H1;1;L;COB;8;133
CID;H1;1;L;COB;9;133
CID;H1;1;L;COB;10;57
CID;H1;1;L;COB;11;57
CID;H1;1;L;COB;12;57
CID;H1;1;L;COB;13;57
CID;H1;1;L;COB;14;57
CID;H1;1;L;COB;15;0
CID;H1;1;L;COB;16;0
CID;H1;1;L;COB;17;0
CID;H1;1;L;COB;18;0
CID;H1;1;L;COB;19;0
CID;H1;1;L;EHP2;0;37
CID;H1;1;L;EHP2;1;37
CID;H1;1;L;EHP2;2;37
CID;H1;1;L;EHP2;3;37
CID;H1;1;L;EHP2;4;37
CID;H1;1;L;EHP2;5;46
CID;H1;1;L;EHP2;6;46
CID;H1;1;L;EHP2;7;46
CID;H1;1;L;EHP2;8;46
CID;H1;1;L;EHP2;9;46
CID;H1;1;L;EHP2;10;42
CID;H1;1;L;EHP2;11;42
CID;H1;1;L;EHP2;12;42
CID;H1;1;L;EHP2;13;42
CID;H1;1;L;EHP2;14;42
CID;H1;1;L;EHP2;15;42
CID;H1;1;L;EHP2;16;42
CID;H1;1;L;EHP2;17;42
CID;H1;1;L;EHP2;18;42
CID;H1;1;L;EHP2;19;42
CID;H1;1;L;WB;0;0
CID;H1;1;L;WB;1;0
CID;H1;1;L;WB;2;0
CID;H1;1;L;WB;3;0
CID;H1;1;L;WB;4;0
CID;H1;1;L;WB;5;0
CID;H1;1;L;WB;6;0
CID;H1;1;L;WB;7;0
CID;H1;1;L;WB;8;0
CID;H1;1;L;WB;9;0
CID;H1;1;L;WB;10;0
CID;H1;1;L;WB;11;0
CID;H1;1;L;WB;12;0
CID;H1;1;L;WB;13;0
CID;H1;1;L;WB;14;0
CID;H1;1;L;WB;15;0
CID;H1;1;L;WB;16;0
CID;H1;1;L;WB;17;0
CID;H1;1;L;WB;18;0
CID;H1;1;L;WB;19;0
CID;H1;1;L;WPB;0;0
CID;H1;1;L;WPB;1;0
CID;H1;1;L;WPB;2;0
CID;H1;1;L;WPB;3;0
CID;H1;1;L;WPB;4;0
CID;H1;1;L;WPB;5;0
CID;H1;1;L;WPB;6;0
CID;H1;1;L;WPB;7;0
CID;H1;1;L;WPB;8;0
CID;H1;1;L;WPB;9;0
CID;H1;1;L;WPB;10;0
CID;H1;1;L;WPB;11;0
CID;H1;1;L;WPB;12;0
CID;H1;1;L;WPB;13;0
CID;H1;1;L;WPB;14;0
CID;H1;1;L;WPB;15;0
CID;H1;1;L;WPB;16;0
CID;H1;1;L;WPB;17;0
CID;H1;1;L;WPB;18;0
CID;H1;1;L;WPB;19;0
CID;H1;1;L;EHP;0;342
CID;H1;1;L;EHP;1;342
CID;H1;1;L;EHP;2;342
CID;H1;1;L;EHP;3;342
CID;H1;1;L;EHP;4;342
CID;H1;1;L;EHP;5;132
CID;H1;1;L;EHP;6;132
CID;H1;1;L;EHP;7;132
CID;H1;1;L;EHP;8;132
CID;H1;1;L;EHP;9;132
CID;H1;1;L;EHP;10;0
CID;H1;1;L;EHP;11;0
CID;H1;1;L;EHP;12;0
CID;H1;1;L;EHP;13;132
CID;H1;1;L;EHP;14;132
CID;H1;1;L;EHP;15;0
CID;H1;1;L;EHP;16;0
CID;H1;1;L;EHP;17;0
CID;H1;1;L;EHP;18;0
CID;H1;1;L;EHP;19;0
CID;H1;2;M;ER;0;5664
CID;H1;2;M;ER;1;5664
CID;H1;2;M;ER;2;5664
CID;H1;2;M;ER;3;5664
CID;H1;2;M;ER;4;5664
CID;H1;2;M;ER;5;5664
CID;H1;2;M;ER;6;5664
CID;H1;2;M;ER;7;5664
CID;H1;2;M;ER;8;5664
CID;H1;2;M;ER;9;5664
CID;H1;2;M;ER;10;16992
CID;H1;2;M;ER;11;16992
CID;H1;2;M;ER;12;16992
CID;H1;2;M;ER;13;16992
CID;H1;2;M;ER;14;16992
CID;H1;2;M;ER;15;16992
CID;H1;2;M;ER;16;16992
CID;H1;2;M;ER;17;16992
CID;H1;2;M;ER;18;16992
CID;H1;2;M;ER;19;16992
CID;H1;2;M;GB;0;3985
CID;H1;2;M;GB;1;3985
CID;H1;2;M;GB;2;3985
CID;H1;2;M;GB;3;3985
CID;H1;2;M;GB;4;3985
CID;H1;2;M;GB;5;5977
CID;H1;2;M;GB;6;5977
CID;H1;2;M;GB;7;5977
CID;H1;2;M;GB;8;5977
CID;H1;2;M;GB;9;5977
CID;H1;2;M;GB;10;14942
CID;H1;2;M;GB;11;14942
CID;H1;2;M;GB;12;14942
CID;H1;2;M;GB;13;14942
CID;H1;2;M;GB;14;14942
CID;H1;2;M;GB;15;14942
CID;H1;2;M;GB;16;14942
CID;H1;2;M;GB;17;14942
CID;H1;2;M;GB;18;14942
CID;H1;2;M;GB;19;14942
CID;H1;2;M;CGB;0;4981
CID;H1;2;M;CGB;1;4981
CID;H1;2;M;CGB;2;4981
CID;H1;2;M;CGB;3;4981
CID;H1;2;M;CGB;4;4981
CID;H1;2;M;CGB;5;3487
CID;H1;2;M;CGB;6;3487
CID;H1;2;M;CGB;7;3487
CID;H1;2;M;CGB;8;3487
CID;H1;2;M;CGB;9;3487
CID;H1;2;M;CGB;10;1494
CID;H1;2;M;CGB;11;1494
CID;H1;2;M;CGB;12;1494
CID;H1;2;M;CGB;13;1494
CID;H1;2;M;CGB;14;1494
CID;H1;2;M;CGB;15;0
CID;H1;2;M;CGB;16;0
CID;H1;2;M;CGB;17;0
CID;H1;2;M;CGB;18;0
CID;H1;2;M;CGB;19;0
CID;H1;2;M;OB;0;28
CID;H1;2;M;OB;1;28
CID;H1;2;M;OB;2;28
CID;H1;2;M;OB;3;28
CID;H1;2;M;OB;4;28
CID;H1;2;M;OB;5;69
CID;H1;2;M;OB;6;69
CID;H1;2;M;OB;7;69
CID;H1;2;M;OB;8;69
CID;H1;2;M;OB;9;69
CID;H1;2;M;OB;10;181
CID;H1;2;M;OB;11;181
CID;H1;2;M;OB;12;181
CID;H1;2;M;OB;13;181
CID;H1;2;M;OB;14;181
CID;H1;2;M;OB;15;278
CID;H1;2;M;OB;16;278
CID;H1;2;M;OB;17;278
CID;H1;2;M;OB;18;278
CID;H1;2;M;OB;19;278
CID;H1;2;M;COB;0;70
CID;H1;2;M;COB;1;70
CID;H1;2;M;COB;2;70
CID;H1;2;M;COB;3;70
CID;H1;2;M;COB;4;70
CID;H1;2;M;COB;5;49
CID;H1;2;M;COB;6;49
CID;H1;2;M;COB;7;49
CID;H1;2;M;COB;8;49
CID;H1;2;M;COB;9;49
CID;H1;2;M;COB;10;21
CID;H1;2;M;COB;11;21
CID;H1;2;M;COB;12;21
CID;H1;2;M;COB;13;21
CID;H1;2;M;COB;14;21
CID;H1;2;M;COB;15;0
CID;H1;2;M;COB;16;0
CID;H1;2;M;COB;17;0
CID;H1;2;M;COB;18;0
CID;H1;2;M;COB;19;0
CID;H1;2;M;EHP2;0;0
CID;H1;2;M;EHP2;1;0
CID;H1;2;M;EHP2;2;0
CID;H1;2;M;EHP2;3;0
CID;H1;2;M;EHP2;4;0
CID;H1;2;M;EHP2;5;0
CID;H1;2;M;EHP2;6;0
CID;H1;2;M;EHP2;7;0
CID;H1;2;M;EHP2;8;0
CID;H1;2;M;EHP2;9;0
CID;H1;2;M;EHP2;10;0
CID;H1;2;M;EHP2;11;0
CID;H1;2;M;EHP2;12;0
CID;H1;2;M;EHP2;13;0
CID;H1;2;M;EHP2;14;0
CID;H1;2;M;EHP2;15;0
CID;H1;2;M;EHP2;16;0
CID;H1;2;M;EHP2;17;0
CID;H1;2;M;EHP2;18;0
CID;H1;2;M;EHP2;19;0
CID;H1;2;M;WB;0;0
CID;H1;2;M;WB;1;0
CID;H1;2;M;WB;2;0
CID;H1;2;M;WB;3;0
CID;H1;2;M;WB;4;0
CID;H1;2;M;WB;5;0
CID;H1;2;M;WB;6;0
CID;H1;2;M;WB;7;0
CID;H1;2;M;WB;8;0
CID;H1;2;M;WB;9;0
CID;H1;2;M;WB;10;0
CID;H1;2;M;WB;11;0
CID;H1;2;M;WB;12;0
CID;H1;2;M;WB;13;0
CID;H1;2;M;WB;14;0
CID;H1;2;M;WB;15;0
CID;H1;2;M;WB;16;0
CID;H1;2;M;WB;17;0
CID;H1;2;M;WB;18;0
CID;H1;2;M;WB;19;0
CID;H1;2;M;WPB;0;0
CID;H1;2;M;WPB;1;0
CID;H1;2;M;WPB;2;0
CID;H1;2;M;WPB;3;0
CID;H1;2;M;WPB;4;0
CID;H1;2;M;WPB;5;0
CID;H1;2;M;WPB;6;0
CID;H1;2;M;WPB;7;0
CID;H1;2;M;WPB;8;0
CID;H1;2;M;WPB;9;0
CID;H1;2;M;WPB;10;0
CID;H1;2;M;WPB;11;0
CID;H1;2;M;WPB;12;0
CID;H1;2;M;WPB;13;0
CID;H1;2;M;WPB;14;0
CID;H1;2;M;WPB;15;0
CID;H1;2;M;WPB;16;0
CID;H1;2;M;WPB;17;0
CID;H1;2;M;WPB;18;0
CID;H1;2;M;WPB;19;0
CID;H1;2;M;EHP;0;0
CID;H1;2;M;EHP;1;0
CID;H1;2;M;EHP;2;0
CID;H1;2;M;EHP;3;0
CID;H1;2;M;EHP;4;0
CID;H1;2;M;EHP;5;0
CID;H1;2;M;EHP;6;0
CID;H1;2;M;EHP;7;0
CID;H1;2;M;EHP;8;0
CID;H1;2;M;EHP;9;0
CID;H1;2;M;EHP;10;0
CID;H1;2;M;EHP;11;0
CID;H1;2;M;EHP;12;0
CID;H1;2;M;EHP;13;0
CID;H1;2;M;EHP;14;0
CID;H1;2;M;EHP;15;0
CID;H1;2;M;EHP;16;0
CID;H1;2;M;EHP;17;0
CID;H1;2;M;EHP;18;0
CID;H1;2;M;EHP;19;0
CID;H1;2;S;ER;0;2832
CID;H1;2;S;ER;1;2832
CID;H1;2;S;ER;2;2832
CID;H1;2;S;ER;3;2832
CID;H1;2;S;ER;4;2832
CID;H1;2;S;ER;5;2832
CID;H1;2;S;ER;6;2832
CID;H1;2;S;ER;7;2832
CID;H1;2;S;ER;8;2832
CID;H1;2;S;ER;9;2832
CID;H1;2;S;ER;10;8496
CID;H1;2;S;ER;11;8496
CID;H1;2;S;ER;12;8496
CID;H1;2;S;ER;13;8496
CID;H1;2;S;ER;14;8496
CID;H1;2;S;ER;15;8496
CID;H1;2;S;ER;16;8496
CID;H1;2;S;ER;17;8496
CID;H1;2;S;ER;18;8496
CID;H1;2;S;ER;19;8496
CID;H1;2;S;GB;0;2002
CID;H1;2;S;GB;1;2002
CID;H1;2;S;GB;2;2002
CID;H1;2;S;GB;3;2002
CID;H1;2;S;GB;4;2002
CID;H1;2;S;GB;5;3002
CID;H1;2;S;GB;6;3002
CID;H1;2;S;GB;7;3002
CID;H1;2;S;GB;8;3002
CID;H1;2;S;GB;9;3002
CID;H1;2;S;GB;10;7506
CID;H1;2;S;GB;11;7506
CID;H1;2;S;GB;12;7506
CID;H1;2;S;GB;13;7506
CID;H1;2;S;GB;14;7506
CID;H1;2;S;GB;15;7506
CID;H1;2;S;GB;16;7506
CID;H1;2;S;GB;17;7506
CID;H1;2;S;GB;18;7506
CID;H1;2;S;GB;19;7506
CID;H1;2;S;CGB;0;2502
CID;H1;2;S;CGB;1;2502
CID;H1;2;S;CGB;2;2502
CID;H1;2;S;CGB;3;2502
CID;H1;2;S;CGB;4;2502
CID;H1;2;S;CGB;5;1751
CID;H1;2;S;CGB;6;1751
CID;H1;2;S;CGB;7;1751
CID;H1;2;S;CGB;8;1751
CID;H1;2;S;CGB;9;1751
CID;H1;2;S;CGB;10;751
CID;H1;2;S;CGB;11;751
CID;H1;2;S;CGB;12;751
CID;H1;2;S;CGB;13;751
CID;H1;2;S;CGB;14;751
CID;H1;2;S;CGB;15;0
CID;H1;2;S;CGB;16;0
CID;H1;2;S;CGB;17;0
